rank,name,score,source,SMILES
"
25,AK-087/42718334,1.422,Specs,"C(#N)Cc1cc(c2ccc3c(c2)CCC(C)(C)O3)nn1c1ccc(cc1)OC	AK-087/42718334
"
26,AF-399/34013039,1.422,Specs,"c1ccc(cc1)c1c2ccccn2c(c2ccc(cc2)[N](=O)O)n1	AF-399/34013039
"
27,AG-690/33080011,1.421,Specs,"c1ccc(cc1)C1=NOC(=O)C1=Cc1ccc(cc1)N(C)C	AG-690/33080011
"
28,ZINC00209790,1.42,Specs,"c1ccc(cc1)c1cc(c2ccc(c(c2)OC)OC)nc(n1)OC	ZINC00209790
"
29,AG-205/32388034,1.42,Specs,"c1cc(c(cc1c1cc(c2ccc(c(c2)Cl)OC)nc(c1)C)Cl)OC	AG-205/32388034
"
30,AN-919/15183002,1.418,Specs,"C(#N)c1c(cc(c2ccccc2)nc1S)c1ccc(c(c1)C)OC	AN-919/15183002
"
31,AE-848/36049027,1.417,Specs,"c1ccc2c(c1)nc1n2cc(c2ccc(cc2)OC)n1CCCO	AE-848/36049027
"
32,AG-205/33152055,1.417,Specs,"c1cc(ccc1C1=NC(=Cc2ccc(cc2)C)C(=O)O1)OC	AG-205/33152055
"
33,AF-399/15104011,1.415,Specs,"c1cc(ccc1c1cn(c2ccc(cc2)C(=O)OC)c(=S)[nH]1)OC	AF-399/15104011
"
34,AQ-776/42801378,1.415,Specs,"c1ccc(cc1)c1cn2c3ccccc3ccc2n1C	AQ-776/42801378
"
35,AE-641/14883017,1.412,Specs,"c1ccc(cc1)c1c(c(C(=O)OC)n(c2ccccc2)n1)C	AE-641/14883017
"
36,AE-848/34408043,1.411,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SC)c1ccc(cc1)OC	AE-848/34408043
"
37,AG-205/11945026,1.408,Specs,"c1cc(ccc1c1c(c2ccc(cc2)OC)[nH]c(c2ccc(cc2OC)OC)n1)OC	AG-205/11945026
"
38,AN-989/42063253,1.407,Specs,"c1cc(ccc1c1cc(c2ccc(cc2)F)n2c(ncn2)n1)C	AN-989/42063253
"
39,AF-399/13200039,1.407,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@@H](c2ccc(cc2)OC(F)F)C1)C	AF-399/13200039
"
40,AG-219/33329008,1.406,Specs,"c1ccc(cc1)c1cc(c2ccc(c(c2)OC)OC)nc(n1)Cl	AG-219/33329008
"
41,AE-842/32631033,1.406,Specs,"c1ccc(cc1)c1c(c(c(c2ccccc2)[nH]1)C(=O)OC)C(=O)OC	AE-842/32631033
"
42,AG-690/10517051,1.406,Specs,"c1cc(ccc1c1c(c2ccc(cc2)OC)[nH]c(c2ccc(cc2)SC)n1)OC	AG-690/10517051
"
43,AG-205/08567008,1.404,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC)c1ccc(cc1)OC	AG-205/08567008
"
44,AH-262/11507006,1.404,Specs,"c1ccc(cc1)c1c2c(C(=O)c3ccccc3C2=O)n(c2ccccc2)n1	AH-262/11507006
"
45,AG-205/11945045,1.404,Specs,"c1cc(ccc1c1c(c2ccc(cc2)OC)[nH]c(c2ccc(c(c2)OC)OC)n1)OC	AG-205/11945045
"
46,AK-087/42718365,1.404,Specs,"c1cc(ccc1C(=O)CCc1ccc(cc1)OC)OC	AK-087/42718365
"
47,AG-690/36757049,1.403,Specs,"c1cc(C=C2C(=O)OC(=N2)c2ccc(cc2)OC)sc1	AG-690/36757049
"
48,AG-690/40749470,1.402,Specs,"C(#N)c1c(cc(c2ccc(cc2)OC)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749470
"
49,AO-365/43401335,1.401,Specs,"c1cc(cc(c1)OC)c1nnc2n1nc(c1ccc(cc1)OC)s2	AO-365/43401335
"
50,AE-842/32631014,1.401,Specs,"c1ccc(cc1)c1c(cn(c2ccc(cc2)Cl)n1)C(=O)OCC	AE-842/32631014
"
51,AO-365/43301078,1.401,Specs,"c1cc(ccc1c1nnc2n1nc(c1ccc(cc1)OC)s2)N(C)C	AO-365/43301078
"
52,AP-501/41329110,1.401,Specs,"c1cc(ccc1c1nnc2n1nc(c1ccc(cc1)OC)s2)OC	AP-501/41329110
"
53,AK-777/36976001,1.4,Specs,"C(#N)c1c(cc(c2cccs2)nc1SC)c1ccc(cc1)OC	AK-777/36976001
"
54,AG-690/40749461,1.399,Specs,"C(#N)c1c(cc(c2ccc(cc2)OC)nc1SC)c1ccc(cc1)Cl	AG-690/40749461
"
55,AG-205/33140043,1.397,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)C3CC3)sc2n1)N)c1ccc(cc1)OC	AG-205/33140043
"
56,AI-346/11356024,1.397,Specs,"c1ccc(cc1)[C@H]1[C@H]2C(=NN1C(=O)CC)c1ccc(cc1CC2)OC	AI-346/11356024
"
57,AG-690/12404942,1.397,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@@H](c2ccc(cc2)Br)C1)C	AG-690/12404942
"
58,AN-329/05740035,1.396,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)N)sc2n1)N)c1ccc(cc1)OC	AN-329/05740035
"
59,AO-476/42169422,1.395,Specs,"c1ccc(cc1)n1cc(c(c2ccco2)n1)C=O	AO-476/42169422
"
60,AO-365/43401338,1.395,Specs,"c1cc(cc(c1)OC)c1nnc2n1nc(c1ccc(cc1OC)OC)s2	AO-365/43401338
"
61,AP-501/43179269,1.395,Specs,"c1cc(cc(c1)F)c1nnc2n1nc(c1ccc(cc1)OC)s2	AP-501/43179269
"
62,AO-365/43113660,1.394,Specs,"c1cc(cc(c1)Cl)c1nnc2n1nc(c1ccc(cc1)OC)s2	AO-365/43113660
"
63,AO-476/42123765,1.394,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1N)c1ccc(cc1)OC	AO-476/42123765
"
64,AO-365/43400596,1.393,Specs,"c1cc(cc(c1)Br)c1nnc2n1nc(c1ccc(cc1)OC)s2	AO-365/43400596
"
65,AF-399/13200039,1.393,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@@H](c2ccc(cc2)OC(F)F)C1)C	AF-399/13200039
"
66,AP-501/43237251,1.393,Specs,"c1cc(cc(c1)C)c1nnc2n1nc(c1ccc(cc1)OC)s2	AP-501/43237251
"
67,AO-476/43362682,1.391,Specs,"c1cc(cc(c1)OC)n1cc(c2ccc(cc2)F)nc1SCC(=O)C	AO-476/43362682
"
68,AO-365/43113753,1.391,Specs,"c1ccc(c(c1)c1nnc2n1nc(c1ccc(cc1)OC)s2)Br	AO-365/43113753
"
69,AO-476/15578132,1.391,Specs,"c1ccc(cc1)c1cc(c2ccc(cc2)OC)nc2c1c(ncn2)N	AO-476/15578132
"
70,AK-820/13220581,1.39,Specs,"c1ccc(cc1)c1cc(cc(c2ccc3c(c2)NC(=O)CO3)n1)c1ccc(cc1)OC	AK-820/13220581
"
71,AP-501/42284036,1.389,Specs,"c1ccc(c(c1)c1nnc2n1nc(c1ccc(cc1)OC)s2)OC	AP-501/42284036
"
72,AS-980/15246972,1.389,Specs,"c1ccc(cc1)c1c2c(cc(C)nc2n(c2ccccc2)n1)C	AS-980/15246972
"
73,AN-689/41741336,1.388,Specs,"c1cc(ccc1N1C(=O)C(=O)N(c2ccc(cc2)S(=O)(=O)N)C1=S)OC	AN-689/41741336
"
74,AO-365/43113663,1.388,Specs,"c1cc(cc(c1)Cl)c1nnc2n1nc(c1ccc(cc1)OCC)s2	AO-365/43113663
"
75,AM-807/14956055,1.388,Specs,"C(#N)c1c(c2c(cc(c3cccs3)nc2s1)c1ccc(cc1)OC)N	AM-807/14956055
"
76,AO-365/43301310,1.388,Specs,"c1cc(cc(c1)C)c1nnc2n1nc(c1ccc(cc1)OCC)s2	AO-365/43301310
"
77,AE-848/30689062,1.387,Specs,"c1cc(ccc1C(=O)CC(=O)c1ccc(cc1)OC)OC	AE-848/30689062
"
78,AO-476/43250024,1.387,Specs,"c1cc(ccc1c1cc(c2c(ncnc2N)n1)c1ccc(cc1)OC)C	AO-476/43250024
"
79,AE-842/32631039,1.386,Specs,"c1ccc(cc1)c1c(c(c(c2ccc(cc2)[N](=O)O)[nH]1)C(=O)OC)C(=O)OC	AE-842/32631039
"
80,AE-842/31986011,1.386,Specs,"c1cc(ccc1c1c(c(c(c2ccc(cc2)OC)[nH]1)C(=O)OCC)C(=O)OCC)[N](=O)O	AE-842/31986011
"
81,AH-487/36443043,1.385,Specs,"c1cc(ccc1C=CC(=O)c1ccc(cc1)OC)OCC=C	AH-487/36443043
"
82,AO-365/43400524,1.385,Specs,"c1cc(cc(c1)F)c1nnc2n1nc(c1ccc(cc1)OCC)s2	AO-365/43400524
"
83,AO-081/15246973,1.385,Specs,"c1ccc(cc1)n1c2c(c(cc(C)n2)C)c(c2ccc(cc2)C)n1	AO-081/15246973
"
84,AO-365/43400520,1.385,Specs,"c1cc(cc(c1)F)c1nnc2n1nc(c1ccc(cc1OC)OC)s2	AO-365/43400520
"
85,AI-060/41884474,1.385,Specs,"c1cc(ccc1c1cc(c2ccc(cc2)Cl)c2c(n1)nc([nH]c2=O)S)C	AI-060/41884474
"
86,AJ-916/40989360,1.384,Specs,"c1cc(cc(c1)Br)C(=O)c1cn(c2ccc(cc2)OC)nc1C(=O)C	AJ-916/40989360
"
87,AG-690/12404942,1.384,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@@H](c2ccc(cc2)Br)C1)C	AG-690/12404942
"
88,AG-690/09285010,1.383,Specs,"c1ccc(cc1)c1c(c2ccccc2)[nH]c(c2ccc(cc2)OCC)n1	AG-690/09285010
"
89,AG-205/12368057,1.383,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@H](c2ccc(cc2)CC)C1)Cl	AG-205/12368057
"
90,AO-365/43113620,1.383,Specs,"c1cc(ccc1c1nnc2n1nc(c1ccc(cc1)OCC)s2)F	AO-365/43113620
"
91,AG-690/36720042,1.382,Specs,"c1ccc(cc1)n1c(c(cn1)c1ccc(c(c1)OC)OC)N	AG-690/36720042
"
92,AO-365/43113729,1.382,Specs,"c1cc(ccc1c1nnc2n1nc(c1ccc(cc1)OCC)s2)C	AO-365/43113729
"
93,AO-022/42667913,1.382,Specs,"c1cc(cc(c1)C)[C@H]1CC(=NN1S(=O)(=O)C)c1ccc(c(c1)OC)OC	AO-022/42667913
"
94,AO-365/43301083,1.382,Specs,"c1cc(ccc1c1nnc2n1nc(c1ccc(cc1)OCC)s2)N(C)C	AO-365/43301083
"
95,AO-365/43301260,1.381,Specs,"c1cc(ccc1c1nnc2n1nc(c1ccc(cc1)OCC)s2)Cl	AO-365/43301260
"
96,AF-399/34184060,1.38,Specs,"c1ccc(cc1)c1c2ccccn2c(c2cccc(c2)[N](=O)O)n1	AF-399/34184060
"
97,AG-927/31201030,1.38,Specs,"c1cc(ccc1[C@H]1[C@@H](C(=O)OC)O[C@H](c2ccc(cc2)OC)O1)OC	AG-927/31201030
"
98,AO-365/43113460,1.38,Specs,"c1cc(ccc1c1nn2c(c3ccncc3)nnc2s1)OCC	AO-365/43113460
"
99,AB-131/42301082,1.379,Specs,"c1ccc(cc1)c1c(sc(c2ccccc2)n1C)S	AB-131/42301082
"
100,AO-365/43301005,1.377,Specs,"c1cc(cnc1)c1nnc2n1nc(c1ccc(cc1)OCC)s2	AO-365/43301005
"
