rank,name,score,source,SMILES
"
28,AG-205/12497019,1.575,Specs,"c1cc(ccc1c1cc(n(c2ccc(cc2)C)n1)N)Cl	AG-205/12497019
"
29,AE-848/41009149,1.575,Specs,"C(#N)c1c(cc(c2ccccc2)nc1N(C)C)c1ccccc1	AE-848/41009149
"
30,AN-329/05740035,1.571,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)N)sc2n1)N)c1ccc(cc1)OC	AN-329/05740035
"
31,AG-690/11481224,1.571,Specs,"C(#N)c1c(cc(c2ccccc2)nc1OCCC)c1ccc(cc1)Br	AG-690/11481224
"
32,AG-205/32388062,1.57,Specs,"c1ccc(cc1)c1cc(cc(c2ccccc2)n1)c1ccc(cc1)I	AG-205/32388062
"
33,AK-777/36504058,1.57,Specs,"c1ccc(cc1)c1cc(c2c(c(C(=O)C3CC3)sc2n1)N)c1ccc(cc1)F	AK-777/36504058
"
34,AE-842/31985041,1.569,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)[C@H]2[C@H]1[C@@H]1CC[C@H]2C1	AE-842/31985041
"
35,AG-690/40749446,1.569,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749446
"
36,AO-081/14337023,1.568,Specs,"c1cc(ccc1[C@@]12C(=O)N(c3ccc(cc3)Br)C(=O)[C@@H]1[C@H]2C(=O)OCC)Cl	AO-081/14337023
"
37,AO-476/43249983,1.567,Specs,"c1ccc(cc1)c1c2c(c(=O)[nH]nc2c2ccccc2)nn1c1ccccc1	AO-476/43249983
"
38,AE-842/31985041,1.562,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)[C@H]2[C@H]1[C@@H]1CC[C@H]2C1	AE-842/31985041
"
39,AO-476/43250026,1.561,Specs,"c1cc(ccc1c1cc(c2ccc(cc2)F)nc2c1c(ncn2)N)C	AO-476/43250026
"
40,AS-938/12583062,1.561,Specs,"c1cc(ccc1c1c2cn(c3ccc(cc3)C)nc2c(C)nn1)OC	AS-938/12583062
"
41,AS-938/12583055,1.56,Specs,"c1cc(ccc1c1c2cn(c3ccc(cc3)Cl)nc2c(C)nn1)OC	AS-938/12583055
"
42,AG-205/36992071,1.559,Specs,"c1cc(c2cc(c3c(c(C(=O)OCC)sc3n2)N)c2ccc(cc2)Cl)sc1	AG-205/36992071
"
43,AG-690/40750128,1.559,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1SC)c1ccc(cc1)Cl	AG-690/40750128
